receive: 0000, 2014/08/16 16:14:33, 00, len = 1
receive: 0093, 2014/08/16 16:18:34, 00, len = 1
receive: 0093, 2014/08/16 16:19:00, 00, len = 1
receive: 0093, 2014/08/16 16:19:31, 00, len = 1
receive: 0093, 2014/08/16 16:19:59, 00, len = 1
receive: 0000, 2014/08/16 16:34:37, 00, len = 1
receive: 0093, 2014/08/16 17:17:06, 00, len = 1
receive: 0093, 2014/08/16 17:17:47, 00, len = 1
receive: 0093, 2014/08/16 17:18:50, 00, len = 1
receive: 0093, 2014/08/16 17:19:18, 00, len = 1
receive: 0093, 2014/08/16 17:19:45, 00, len = 1
receive: 0093, 2014/08/16 17:21:42, 00, len = 1
receive: 0093, 2014/08/16 17:22:41, 00, len = 1
receive: 0093, 2014/08/16 17:23:09, 00, len = 1
receive: 0093, 2014/08/16 17:24:10, 00, len = 1
receive: 0093, 2014/08/16 17:24:37, 00, len = 1
receive: 0093, 2014/08/16 17:25:03, 00, len = 1
receive: 0093, 2014/08/16 17:25:29, 00, len = 1
receive: 0093, 2014/08/16 17:25:56, 00, len = 1
receive: 0093, 2014/08/16 17:26:24, 00, len = 1
receive: 0093, 2014/08/16 17:26:52, 00, len = 1
receive: 0093, 2014/08/16 17:29:02, 00, len = 1
receive: 0093, 2014/08/16 17:43:53, 00, len = 1
receive: 0000, 2014/08/18 09:54:46, 00, len = 1
receive: 0000, 2014/08/18 09:55:05, 00, len = 1
receive: 0000, 2014/08/18 09:59:42, 00, len = 1
receive: 0000, 2014/08/18 10:00:09, 00, len = 1
receive: 0000, 2014/08/18 10:02:53, 00, len = 1
receive: 0000, 2014/08/18 10:03:47, 00, len = 1
receive: 0000, 2014/08/18 10:05:05, 00, len = 1
receive: 0000, 2014/08/18 10:05:14, 00, len = 1
receive: 0000, 2014/08/18 10:05:40, 00, len = 1
receive: 0000, 2014/08/18 10:06:06, 00, len = 1
receive: 0081, 2014/08/18 10:06:39, B7, len = 1
receive: 0000, 2014/08/18 10:07:05, 00, len = 1
receive: 0000, 2014/08/18 10:07:14, 00, len = 1
receive: 0000, 2014/08/18 10:07:40, 00, len = 1
receive: 0000, 2014/08/18 10:07:49, 00, len = 1
receive: 0093, 2014/08/18 10:08:02, 00, len = 1
receive: 0000, 2014/08/18 10:08:11, 00, len = 1
receive: 0000, 2014/08/18 10:08:37, 00, len = 1
receive: 0000, 2014/08/18 10:08:46, 00, len = 1
receive: 0268, 2014/08/18 10:09:12, A9, len = 1
receive: 0000, 2014/08/18 10:09:38, 00, len = 1
receive: 0000, 2014/08/18 10:09:47, 00, len = 1
receive: 0000, 2014/08/18 10:11:05, 00, len = 1
receive: 0000, 2014/08/18 10:11:14, 00, len = 1
receive: 0000, 2014/08/18 10:11:23, 00, len = 1
receive: 0000, 2014/08/18 10:11:32, 00, len = 1
receive: 0000, 2014/08/18 10:11:41, 00, len = 1
receive: 0000, 2014/08/18 10:11:50, 00, len = 1
receive: 0000, 2014/08/18 10:11:59, 00, len = 1
receive: 0093, 2014/08/18 10:13:21, 00, len = 1
receive: 0000, 2014/08/18 10:14:39, 00, len = 1
receive: 0000, 2014/08/18 10:14:48, 00, len = 1
receive: 0000, 2014/08/18 10:14:57, 00, len = 1
receive: 0000, 2014/08/18 10:15:06, 00, len = 1
receive: 0000, 2014/08/18 10:15:15, 00, len = 1
receive: 0000, 2014/08/18 10:15:24, 00, len = 1
receive: 0000, 2014/08/18 10:15:33, 00, len = 1
receive: 0000, 2014/08/18 10:15:42, 00, len = 1
receive: 0000, 2014/08/18 10:15:51, 00, len = 1
receive: 0000, 2014/08/18 10:16:00, 00, len = 1
receive: 0000, 2014/08/18 10:16:09, 00, len = 1
receive: 0000, 2014/08/18 10:16:18, 00, len = 1
receive: 0000, 2014/08/18 10:16:27, 00, len = 1
receive: 0000, 2014/08/18 10:16:36, 00, len = 1
receive: 0000, 2014/08/18 10:16:45, 00, len = 1
receive: 0000, 2014/08/18 10:16:54, 00, len = 1
receive: 0000, 2014/08/18 10:17:03, 00, len = 1
receive: 0000, 2014/08/18 10:17:12, 00, len = 1
receive: 0000, 2014/08/18 10:17:21, 00, len = 1
receive: 0000, 2014/08/18 10:17:30, 00, len = 1
receive: 0000, 2014/08/18 10:17:39, 00, len = 1
receive: 0000, 2014/08/18 10:17:48, 00, len = 1
receive: 0000, 2014/08/18 10:17:57, 00, len = 1
receive: 0000, 2014/08/18 10:18:06, 00, len = 1
receive: 0000, 2014/08/18 10:18:15, 00, len = 1
receive: 0000, 2014/08/18 10:18:24, 00, len = 1
receive: 0000, 2014/08/18 10:18:33, 00, len = 1
receive: 0000, 2014/08/18 10:18:42, 00, len = 1
receive: 0000, 2014/08/18 10:18:51, 00, len = 1
receive: 0000, 2014/08/18 10:19:00, 00, len = 1
receive: 0000, 2014/08/18 10:19:09, 00, len = 1
receive: 0000, 2014/08/18 10:19:18, 00, len = 1
receive: 0000, 2014/08/18 10:19:27, 00, len = 1
receive: 0000, 2014/08/18 10:19:36, 00, len = 1
receive: 0000, 2014/08/18 10:19:45, 00, len = 1
receive: 0000, 2014/08/18 10:19:54, 00, len = 1
receive: 0000, 2014/08/18 10:20:03, 00, len = 1
receive: 0000, 2014/08/18 10:20:12, 00, len = 1
receive: 0000, 2014/08/18 10:20:21, 00, len = 1
receive: 0000, 2014/08/18 10:20:30, 00, len = 1
receive: 0000, 2014/08/18 10:20:39, 00, len = 1
receive: 0000, 2014/08/18 10:20:48, 00, len = 1
receive: 0000, 2014/08/18 10:20:57, 00, len = 1
receive: 0000, 2014/08/18 10:21:06, 00, len = 1
receive: 0000, 2014/08/18 10:21:15, 00, len = 1
receive: 0000, 2014/08/18 10:21:24, 00, len = 1
receive: 0000, 2014/08/18 10:21:33, 00, len = 1
receive: 0000, 2014/08/18 10:21:42, 00, len = 1
receive: 0000, 2014/08/18 10:21:51, 00, len = 1
receive: 0000, 2014/08/18 10:22:00, 00, len = 1
receive: 0000, 2014/08/18 10:22:09, 00, len = 1
receive: 0000, 2014/08/18 10:22:18, 00, len = 1
receive: 0000, 2014/08/18 10:22:27, 00, len = 1
receive: 0000, 2014/08/18 10:22:36, 00, len = 1
receive: 0000, 2014/08/18 10:22:45, 00, len = 1
receive: 0000, 2014/08/18 10:22:54, 00, len = 1
receive: 0000, 2014/08/18 10:23:03, 00, len = 1
receive: 0000, 2014/08/18 10:23:12, 00, len = 1
receive: 0000, 2014/08/18 10:23:21, 00, len = 1
receive: 0000, 2014/08/18 10:23:30, 00, len = 1
receive: 0000, 2014/08/18 10:23:39, 00, len = 1
receive: 0000, 2014/08/18 10:23:48, 00, len = 1
receive: 0000, 2014/08/18 10:23:57, 00, len = 1
receive: 0000, 2014/08/18 10:24:06, 00, len = 1
receive: 0000, 2014/08/18 10:24:15, 00, len = 1
receive: 0000, 2014/08/18 10:24:24, 00, len = 1
receive: 0000, 2014/08/18 10:24:33, 00, len = 1
receive: 0000, 2014/08/18 10:24:42, 00, len = 1
receive: 0000, 2014/08/18 10:24:51, 00, len = 1
receive: 0000, 2014/08/18 10:25:00, 00, len = 1
receive: 0000, 2014/08/18 10:25:09, 00, len = 1
receive: 0000, 2014/08/18 10:25:18, 00, len = 1
receive: 0000, 2014/08/18 10:25:27, 00, len = 1
receive: 0000, 2014/08/18 10:25:36, 00, len = 1
receive: 0000, 2014/08/18 10:25:45, 00, len = 1
receive: 0000, 2014/08/18 10:25:54, 00, len = 1
receive: 0000, 2014/08/18 10:26:03, 00, len = 1
receive: 0000, 2014/08/18 10:26:12, 00, len = 1
receive: 0000, 2014/08/18 10:26:21, 00, len = 1
receive: 0000, 2014/08/18 10:26:30, 00, len = 1
receive: 0000, 2014/08/18 10:26:39, 00, len = 1
receive: 0000, 2014/08/18 10:26:48, 00, len = 1
receive: 0000, 2014/08/18 10:26:57, 00, len = 1
receive: 0000, 2014/08/18 10:27:06, 00, len = 1
receive: 0000, 2014/08/18 10:27:15, 00, len = 1
receive: 0000, 2014/08/18 10:27:24, 00, len = 1
receive: 0000, 2014/08/18 10:27:33, 00, len = 1
receive: 0000, 2014/08/18 10:27:42, 00, len = 1
receive: 0000, 2014/08/18 10:27:51, 00, len = 1
receive: 0000, 2014/08/18 10:28:00, 00, len = 1
receive: 0000, 2014/08/18 10:28:09, 00, len = 1
receive: 0000, 2014/08/18 10:28:18, 00, len = 1
receive: 0000, 2014/08/18 10:28:27, 00, len = 1
receive: 0000, 2014/08/18 10:28:36, 00, len = 1
receive: 0000, 2014/08/18 10:28:45, 00, len = 1
receive: 0000, 2014/08/18 10:28:54, 00, len = 1
receive: 0000, 2014/08/18 10:29:03, 00, len = 1
receive: 0000, 2014/08/18 10:29:12, 00, len = 1
receive: 0000, 2014/08/18 10:29:21, 00, len = 1
receive: 0000, 2014/08/18 10:29:30, 00, len = 1
receive: 0000, 2014/08/18 10:29:43, 00, len = 1
receive: 0000, 2014/08/18 10:30:26, 00, len = 1
receive: 0093, 2014/08/18 10:31:09, 00, len = 1
receive: 0081, 2014/08/18 10:32:47, B7, len = 1
receive: 0000, 2014/08/18 10:34:54, 00, len = 1
receive: 0000, 2014/08/18 10:37:00, 00, len = 1
receive: 0000, 2014/08/18 10:37:46, 00, len = 1
receive: 0000, 2014/08/18 10:38:05, 00, len = 1
receive: 0000, 2014/08/18 10:38:50, 00, len = 1
receive: 0000, 2014/08/18 10:39:25, 00, len = 1
receive: 0000, 2014/08/18 10:40:00, 00, len = 1
receive: 0081, 2014/08/18 10:40:56, B7, len = 1
receive: 0000, 2014/08/18 10:42:14, 00, len = 1
receive: 0000, 2014/08/18 10:42:23, 00, len = 1
receive: 0000, 2014/08/18 10:42:32, 00, len = 1
receive: 0000, 2014/08/18 10:49:27, 00, len = 1
receive: 0000, 2014/08/18 10:49:36, 00, len = 1
receive: 0000, 2014/08/18 10:49:45, 00, len = 1
receive: 0000, 2014/08/18 10:49:54, 00, len = 1
receive: 0000, 2014/08/18 10:50:03, 00, len = 1
receive: 0000, 2014/08/18 10:50:12, 00, len = 1
receive: 0000, 2014/08/18 10:50:21, 00, len = 1
receive: 0000, 2014/08/18 10:50:30, 00, len = 1
receive: 0000, 2014/08/18 10:50:39, 00, len = 1
receive: 0000, 2014/08/18 10:50:48, 00, len = 1
receive: 0000, 2014/08/18 10:50:57, 00, len = 1
receive: 0000, 2014/08/18 10:51:06, 00, len = 1
receive: 0000, 2014/08/18 10:51:15, 00, len = 1
receive: 0000, 2014/08/18 10:51:24, 00, len = 1
receive: 0000, 2014/08/18 10:51:43, 00, len = 1
receive: 0000, 2014/08/18 10:52:05, 00, len = 1
receive: 0000, 2014/08/18 10:52:14, 00, len = 1
receive: 0000, 2014/08/18 10:52:23, 00, len = 1
receive: 0000, 2014/08/18 10:53:25, 00, len = 1
receive: 0000, 2014/08/18 10:53:34, 00, len = 1
receive: 0093, 2014/08/18 10:55:18, 00, len = 1
receive: 0093, 2014/08/18 10:55:31, 00, len = 1
receive: 0081, 2014/08/18 10:58:54, B7, len = 1
receive: 0093, 2014/08/18 11:01:05, 00, len = 1
receive: 0093, 2014/08/18 11:02:50, 00, len = 1
receive: 0081, 2014/08/18 11:04:02, B7, len = 1
receive: 0081, 2014/08/18 11:05:27, B7, len = 1
receive: 0093, 2014/08/18 11:07:38, 00, len = 1
receive: 0000, 2014/08/18 11:09:45, 00, len = 1
receive: 0000, 2014/08/18 11:09:54, 00, len = 1
receive: 0000, 2014/08/18 11:10:03, 00, len = 1
receive: 0000, 2014/08/18 11:10:12, 00, len = 1
receive: 0000, 2014/08/18 11:10:21, 00, len = 1
receive: 0000, 2014/08/18 11:10:30, 00, len = 1
receive: 0000, 2014/08/18 11:10:39, 00, len = 1
receive: 0000, 2014/08/18 11:10:48, 00, len = 1
receive: 0000, 2014/08/18 11:10:57, 00, len = 1
receive: 0000, 2014/08/18 11:11:06, 00, len = 1
receive: 0000, 2014/08/18 11:11:15, 00, len = 1
receive: 0000, 2014/08/18 11:11:24, 00, len = 1
receive: 0000, 2014/08/18 11:11:33, 00, len = 1
receive: 0000, 2014/08/18 11:11:42, 00, len = 1
receive: 0000, 2014/08/18 11:11:51, 00, len = 1
receive: 0000, 2014/08/18 11:12:00, 00, len = 1
receive: 0000, 2014/08/18 11:12:09, 00, len = 1
receive: 0000, 2014/08/18 11:12:18, 00, len = 1
receive: 0000, 2014/08/18 11:12:37, 00, len = 1
receive: 0000, 2014/08/18 11:12:56, 00, len = 1
receive: 0000, 2014/08/18 11:13:08, 00, len = 1
  send : 0000, 2014/08/18 11:13:17, 00, len = 1
  send : 0000, 2014/08/18 11:13:26, 00, len = 1
  send : 0000, 2014/08/18 11:13:35, 00, len = 1
